Timestamp,Solar Radiation,Relative Humidity,Temperature,Wind Direction,Wind Speed
2/1/18 6:00,0.06,88.34,4.74,203.6087,2.94
2/1/18 5:30,0.08,87.38,4.86,213.3221,3.21
2/1/18 5:00,0.07,86.5,4.98,212334,4.31
2/1/18 4:30,0.09,86.48,5,209.7449,4.03
2/1/18 4:00,0.09,86.21,5.04,201.1352,3.66
2/1/18 3:30,0.08,85.95,5,206.1351,3.95
2/1/18 3:00,0.09,85.43,5.03,210.6738,4.37
2/1/18 2:30,0.09,85.31,5.1,198.1992,4.63
2/1/18 2:00,0.09,84.92,5.14,200698,5.16
2/1/18 1:30,0.09,84.56,5.17,198.01,4.73
2/1/18 1:00,0.09,84.68,5.13,195.9951,5.01
2/1/18 0:30,0.09,85.03,5.11,206.2351,5.04
2/1/18 0:00,0.09,84.46,5.13,197.8402,4.82
1/1/18 23:30,0.09,83.57,5.09,198.8221,4.48
1/1/18 23:00,0.09,83.6,5.03,204.2333,4.7
1/1/18 22:30,0.08,85.09,4.86,203.4133,4.57
1/1/18 22:00,0.06,84.39,4.81,203459,4.51
1/1/18 21:30,0.08,83.65,4.9,206.2935,4.89
1/1/18 21:00,0.09,84.06,4.81,206.8366,5.23
1/1/18 20:30,0.09,83.29,4.83,201.2505,4.68
1/1/18 20:00,0.08,83.42,4.84,203.9376,5.27
1/1/18 19:30,0.08,83.16,4.88,202.1873,4.81
1/1/18 19:00,0.06,81.64,4.91,209.4759,5.53
1/1/18 18:30,0.06,80.54,5.07,203.8753,5.09
1/1/18 18:00,0.07,80.49,5.08,211.6075,5.96
1/1/18 17:30,0.06,80.7,5.07,210.0741,6.63
1/1/18 17:00,0.06,79.41,5.29,211.2527,6.47
1/1/18 16:30,0.07,78.79,5.62,215.0508,7.01
1/1/18 16:00,0.14,78.64,5.79,219.5478,8.85
1/1/18 15:30,3.64,77.6,5.94,216.9416,7.26
1/1/18 15:00,19.52,76.61,6,221.4552,7.49
1/1/18 14:30,22.36,77.68,5.74,218.7529,7.63
1/1/18 14:00,7.37,80.01,5.41,227332,7.67
1/1/18 13:30,17.38,81.28,5.28,222.7162,8.38
1/1/18 13:00,23.22,80.5,5.62,229.1471,9.34
1/1/18 12:30,35.67,85.73,5.78,218.4343,6.74
1/1/18 12:00,40.25,87.33,5.66,217.0858,7.3
1/1/18 11:30,39.72,84.1,6.02,205.8564,6.5
1/1/18 11:00,70.91,81.1,6.45,205.4841,6.98
1/1/18 10:30,47.01,81.3,6.48,208.1862,6.83
1/1/18 10:00,24.31,82.91,6.44,208.3988,7.17
1/1/18 9:30,8.48,83.61,6.66,192.6863,7.91
1/1/18 9:00,8.03,83.89,6.58,186.6135,5.49
1/1/18 8:30,3.33,84.06,6.55,189.8351,5.48
1/1/18 8:00,0.07,83.91,6.88,202.4403,5.96
1/1/18 7:30,0.09,85.67,7.03,205.6811,5.83
1/1/18 7:00,0.09,88.73,6.96,199.3369,5.84
1/1/18 6:30,0.08,90.21,6.89,202.0281,6.15
1/1/18 6:00,0.13,91.09,6.93,187.8246,5.88
1/1/18 5:30,0.08,92.23,6.9,188.0138,4.98
1/1/18 5:00,0.08,93.25,6.97,198.5518,3.67
1/1/18 4:30,0.09,94.44,7.16,193.6234,4.05
1/1/18 4:00,0.09,95.25,7.28,199169,3.83
1/1/18 3:30,0.1,95.23,6.96,187.2876,4.46
1/1/18 3:00,0.09,94.83,7.11,174923,3.56
1/1/18 2:30,0.09,94.41,7.04,169.1278,2.98
1/1/18 2:00,0.08,94.02,6.98,171.0396,3.59
1/1/18 1:30,0.09,93.25,7.03,174.8792,3.95
1/1/18 1:00,0.09,92.63,7.09,180.8235,3.43
1/1/18 0:30,0.1,92.45,7.25,179.5313,3.74
1/1/18 0:00,0.12,93.29,7.12,191.0524,3.25
31-12-2017 23:30:00 ,0.15,93.25,7.02,183.6497,3.33
31-12-2017 23:00:00 ,0.16,93.19,7,180.3515,3.24
31-12-2017 22:30:00 ,0.13,93.14,6.95,183.7905,3.33
31-12-2017 22:00:00 ,0.07,92.84,6.83,192.5946,4.22
31-12-2017 21:30:00 ,0.06,92.1,6.85,191.4729,4.41
31-12-2017 21:00:00 ,0.06,91.69,7,190.3048,4.51
31-12-2017 20:30:00 ,0.06,91.77,7.14,197.2534,3.81
31-12-2017 20:00:00 ,0.06,91.81,7.34,210.3333,3.67
31-12-2017 19:30:00 ,0.09,90.89,7.53,203.2144,3.18
31-12-2017 19:00:00 ,0.09,91.03,7.53,207.9596,3.5
31-12-2017 18:30:00 ,0.09,92.86,7.26,199.1938,3.52
31-12-2017 18:00:00 ,0.1,94.44,7.06,210.7189,3.7
31-12-2017 17:30:00 ,0.14,95.02,6.69,199.7352,4.75
31-12-2017 17:00:00 ,0.15,94.45,6.44,178.4646,5.87
31-12-2017 16:30:00 ,0.13,93.95,5.97,171.0711,6.07
31-12-2017 16:00:00 ,0.12,92.92,5.48,157.7108,6.35
31-12-2017 15:30:00 ,0.93,91.69,5.38,155.0991,6.01
31-12-2017 15:00:00 ,2.4,90.73,5.41,152.6867,6.06
31-12-2017 14:30:00 ,10.56,90.75,5.31,150.8985,5.58
31-12-2017 14:00:00 ,12.51,91.05,5.28,154.0903,5.22
31-12-2017 13:30:00 ,22.42,92.04,5.12,159.9864,4.91
31-12-2017 13:00:00 ,24.8,93,4.94,159.6268,5.15
31-12-2017 12:30:00 ,27.46,93.26,4.7,161026,5
31-12-2017 12:00:00 ,14.46,92.78,4.37,156.8174,4.53
31-12-2017 11:30:00 ,24.22,89.98,4.12,148.4723,4.3
31-12-2017 11:00:00 ,32.42,87.11,3.75,146.5523,4
31-12-2017 10:30:00 ,15.73,85.07,3.39,153.1115,3.91
31-12-2017 10:00:00 ,19.34,83.97,3.03,149.1379,3.75
31-12-2017 09:30:00 ,14.51,83.14,2.68,154.0229,3.25
31-12-2017 09:00:00 ,14.88,81.92,2.72,155.6063,2.76
31-12-2017 08:30:00 ,7.64,82.28,2.53,171.8365,3.64
31-12-2017 08:00:00 ,0.72,82.82,2.47,170.8864,3.73
31-12-2017 07:30:00 ,0.1,82.87,2.33,177.1435,3.38
31-12-2017 07:00:00 ,0.09,85.54,2.28,185.2471,2.73
31-12-2017 06:30:00 ,0.06,87.16,2.27,172802,2.22
31-12-2017 06:00:00 ,0.03,87.58,2.32,165.1735,1.37
31-12-2017 05:30:00 ,0.09,88.38,2.22,197.4769,1.41
31-12-2017 05:00:00 ,0.09,88.79,2.11,242.7549,1.62
31-12-2017 04:30:00 ,0.09,89.01,1.91,258832,2.37
31-12-2017 04:00:00 ,0.14,89.39,1.71,278.1991,3.02
31-12-2017 03:30:00 ,0.12,87.01,2.1,263.1475,2.79
31-12-2017 03:00:00 ,0.1,87.48,2.19,284.7255,2.38
31-12-2017 02:30:00 ,0.08,89.89,2.18,295.5646,2.04
